Item,Perishability_Type,Season,Mandi_Location,Wholesale_Base_Price,Temperature_C,Rainfall_MM,Fuel_Price_PKR,Distance_KM,Arrival_Trucks,Demand_Index,Spoilage_Risk,Retail_Price_PKR
Apple (Kala Kulu),Low,Monsoon,Karachi Sabzi Mandi,466,33.6,66.1,284.5,707,109,1,High,671.05
Kiwi (Imported),Medium,Monsoon,Karachi Sabzi Mandi,1183,36.0,101.5,284.5,831,71,5,High,1646.62
Dates (Rabai),Low,Spring,Quetta Satellite Town Mandi,464,23.3,12.6,284.5,613,59,5,Medium,570.31
Grapes (Sundarkhani),High,Spring,Peshawar Central Mandi,539,18.1,25.3,278.0,617,4,4,Medium,659.18
Chiku (Sapodilla),High,Spring,Karachi Sabzi Mandi,185,21.4,14.1,272.5,475,102,4,Low,212.14
Pear (Nashpati),Medium,Monsoon,Multan Goods Market,284,30.9,94.3,305.0,80,82,5,Medium,331.95
Lotus Stem (Bheen),Low,Spring,Faisalabad Grain Market,170,22.7,5.4,305.0,265,102,2,Low,186.93
Cherry,High,Spring,Karachi Sabzi Mandi,724,28.4,5.5,305.0,451,7,5,Low,755.47
Mango (Sindhri),High,Spring,Hyderabad New Mandi,193,18.3,5.9,278.0,40,18,5,Low,196.5
Green Apple,Low,Summer,Karachi Sabzi Mandi,515,38.2,16.9,278.0,936,90,5,Medium,646.71
Grapes (Sundarkhani),High,Spring,Multan Goods Market,371,27.6,5.8,272.5,149,100,4,Low,379.64
Raw Banana (Kacha Kela),Medium,Summer,Karachi Sabzi Mandi,49,44.0,3.9,305.0,1053,58,2,Medium,123.41
Mosambi (Sweet Lime),Medium,Spring,Sukkur Grain Market,206,23.7,26.0,305.0,139,43,1,Medium,245.83
Green Chilies,High,Monsoon,Peshawar Central Mandi,291,31.0,117.1,305.0,669,60,4,High,435.65
Pomegranate (Kandhari),Low,Monsoon,Gujranwala Fruit Market,590,33.6,100.5,292.0,315,107,1,Medium,697.7
Green Chickpeas (Chholia),High,Monsoon,Sukkur Grain Market,173,32.1,74.4,305.0,112,10,5,Medium,208.11
Apple (Garcha),Low,Summer,Sukkur Grain Market,346,31.5,4.8,292.0,157,71,3,Low,355.74
Tinda,High,Monsoon,Islamabad Sabzi Mandi,101,32.9,89.1,292.0,391,72,3,Medium,140.12
Tinda,High,Winter,Hyderabad New Mandi,109,19.7,21.4,278.0,47,13,1,Medium,128.39
Carrot,Medium,Spring,Quetta Satellite Town Mandi,83,28.1,8.6,272.5,328,54,3,Low,101.87
Cauliflower,Medium,Summer,Sukkur Grain Market,58,37.4,4.1,305.0,260,79,4,Low,74.75
Orange (Fruiter),Medium,Summer,Multan Goods Market,290,40.5,2.8,292.0,62,100,5,Medium,337.49
Radish (Mooli),Medium,Summer,Lahore Badami Bagh,36,38.0,22.6,278.0,89,37,5,Medium,47.15
Green Chickpeas (Chholia),High,Monsoon,Multan Goods Market,309,28.7,102.0,305.0,103,101,2,Medium,361.98
Jamun,High,Winter,Multan Goods Market,272,14.1,3.7,292.0,196,59,4,Low,284.22
Lychee,High,Summer,Hyderabad New Mandi,339,47.7,21.7,284.5,254,58,5,High,473.09
Peas (Matar),High,Spring,Gujranwala Fruit Market,195,18.3,10.5,272.5,326,28,4,Low,214.13
Bottle Gourd (Lauki),Medium,Spring,Rawalpindi Raja Bazar,68,29.8,27.1,284.5,183,22,3,Medium,89.63
Bitter Gourd (Karela),High,Winter,Multan Goods Market,147,4.7,21.4,278.0,146,7,5,Medium,180.32
Cabbage,Medium,Spring,Hyderabad New Mandi,89,25.4,0.7,284.5,256,91,3,Low,104.32
Peach (Aroo),High,Winter,Sukkur Grain Market,193,15.6,10.3,272.5,227,35,2,Low,206.14
Wood Apple (Bael),Low,Spring,Rawalpindi Raja Bazar,183,22.8,11.5,305.0,626,35,3,Medium,250.6
Red Bell Pepper,High,Winter,Quetta Satellite Town Mandi,367,12.7,17.9,284.5,676,107,3,Medium,462.24
Red Chili (Fresh),High,Monsoon,Lahore Badami Bagh,178,33.8,59.3,292.0,225,83,2,Medium,218.49
Turnip (Shalgam),Medium,Spring,Faisalabad Grain Market,91,26.5,4.1,305.0,85,25,1,Low,96.57
Peas (Matar),High,Spring,Rawalpindi Raja Bazar,272,29.7,14.2,278.0,160,82,2,Low,281.38
Mustard Greens (Sarson),High,Spring,Hyderabad New Mandi,48,19.1,17.3,305.0,286,87,2,Low,66.28
Plum (Aloo Bukhara),High,Monsoon,Peshawar Central Mandi,366,32.9,43.1,278.0,341,61,1,Medium,440.72
Mushroom (Button),High,Monsoon,Hyderabad New Mandi,497,26.1,119.7,305.0,213,50,5,Medium,585.53
Lettuce,High,Summer,Sukkur Grain Market,180,37.0,9.8,284.5,55,31,5,Medium,210.96
Cauliflower,Medium,Summer,Quetta Satellite Town Mandi,118,39.9,0.3,272.5,324,77,3,Medium,154.27
Apricot (Khubani),High,Winter,Hyderabad New Mandi,365,2.2,2.8,292.0,282,83,5,Low,382.42
Banana (Dhaka),High,Summer,Multan Goods Market,162,44.4,9.9,305.0,126,50,5,Medium,194.75
Tinda,High,Spring,Peshawar Central Mandi,69,24.0,6.7,305.0,250,58,3,Low,85.11
Coconut (Fresh),Low,Monsoon,Gujranwala Fruit Market,425,32.5,80.7,292.0,241,84,2,Medium,503.52
Dragon Fruit,Medium,Monsoon,Multan Goods Market,1399,30.8,74.7,284.5,107,103,2,Medium,1615.28
Kiwi (Imported),Medium,Monsoon,Islamabad Sabzi Mandi,914,33.8,107.4,278.0,489,96,3,Medium,1079.56
Wild Plum (Jaman),High,Monsoon,Hyderabad New Mandi,185,29.8,82.6,284.5,42,20,4,Medium,216.1
Tinda,High,Winter,Rawalpindi Raja Bazar,110,17.4,4.2,284.5,364,45,5,Low,132.06
Coriander (Dhania),High,Summer,Gujranwala Fruit Market,66,47.6,30.0,305.0,101,97,5,High,95.75
Red Chili (Fresh),High,Monsoon,Quetta Satellite Town Mandi,356,30.4,70.0,278.0,491,97,4,Medium,438.02
Cabbage,Medium,Winter,Quetta Satellite Town Mandi,66,5.7,6.7,272.5,214,45,2,Low,78.34
Mushroom (Button),High,Spring,Islamabad Sabzi Mandi,533,25.0,0.1,278.0,539,23,4,Medium,644.92
Banana (Sindhi),High,Summer,Karachi Sabzi Mandi,144,30.4,39.5,292.0,654,43,3,Medium,205.69
Banana (Dhaka),High,Winter,Gujranwala Fruit Market,252,6.2,20.7,278.0,133,31,4,Medium,298.07
Strawberry,High,Monsoon,Hyderabad New Mandi,313,33.3,75.7,292.0,243,109,2,Medium,374.81
Cluster Beans (Gwar),Medium,Monsoon,Sukkur Grain Market,146,34.8,44.0,305.0,121,77,3,Medium,175.76
Eggplant (Baingan),Medium,Monsoon,Sukkur Grain Market,82,35.1,108.6,292.0,310,30,5,Medium,113.88
Lychee,High,Spring,Lahore Badami Bagh,381,21.4,9.0,305.0,253,5,3,Low,399.33
Mustard Greens (Sarson),High,Summer,Quetta Satellite Town Mandi,79,31.9,34.2,272.5,500,58,2,Medium,119.39
Wood Apple (Bael),Low,Monsoon,Quetta Satellite Town Mandi,137,35.7,74.0,278.0,678,7,5,High,227.03
Pistachio Fresh,Low,Summer,Hyderabad New Mandi,1175,36.8,17.1,272.5,240,103,5,Low,1188.84
Cucumber (Kheera),High,Spring,Quetta Satellite Town Mandi,104,23.0,12.9,272.5,224,45,3,Low,117.01
Mosambi (Sweet Lime),Medium,Winter,Multan Goods Market,152,4.6,0.3,284.5,185,99,1,Low,163.01
Zucchini (Yellow),Medium,Summer,Multan Goods Market,157,43.7,13.7,278.0,92,41,5,Medium,186.41
Dates (Rabai),Low,Winter,Lahore Badami Bagh,521,10.8,7.7,284.5,389,69,3,Low,544.25
Pineapple,Low,Summer,Peshawar Central Mandi,427,36.9,3.0,292.0,674,81,1,Medium,532.11
Drumstick (Sohanjna),Medium,Monsoon,Karachi Sabzi Mandi,226,30.4,77.0,305.0,659,41,4,High,347.4
Eggplant (Baingan),Medium,Monsoon,Lahore Badami Bagh,88,36.0,65.8,292.0,262,46,3,Medium,117.43
Apple (Golden),Low,Winter,Rawalpindi Raja Bazar,249,3.6,19.0,284.5,258,54,4,Low,264.62
Fig (Anjeer Fresh),High,Summer,Gujranwala Fruit Market,296,36.8,36.6,292.0,100,94,2,High,405.78
Guava (Amrood),High,Spring,Karachi Sabzi Mandi,131,29.5,26.2,305.0,582,17,1,Medium,187.88
Grapefruit,Medium,Summer,Lahore Badami Bagh,208,34.1,10.2,305.0,381,52,2,Low,232.38
Kiwi (Imported),Medium,Winter,Faisalabad Grain Market,674,16.3,11.2,292.0,334,4,1,Low,695.22
Jamun,High,Summer,Sukkur Grain Market,383,35.4,11.8,278.0,189,26,3,Medium,451.9
Spinach (Palak),High,Summer,Karachi Sabzi Mandi,83,40.4,35.8,272.5,224,41,4,High,125.2
Grapes (Black),High,Winter,Quetta Satellite Town Mandi,485,13.1,15.5,305.0,651,17,4,Medium,600.12
Plum (Aloo Bukhara),High,Winter,Islamabad Sabzi Mandi,298,15.4,19.0,278.0,630,12,1,Medium,379.53
Bottle Gourd (Lauki),Medium,Winter,Hyderabad New Mandi,56,18.4,4.1,292.0,114,25,3,Low,63.45
Colocasia Leaves,High,Summer,Peshawar Central Mandi,86,47.7,13.2,272.5,597,37,3,High,150.35
Cauliflower,Medium,Winter,Rawalpindi Raja Bazar,81,7.1,12.7,305.0,313,45,5,Low,101.38
Grapefruit,Medium,Winter,Lahore Badami Bagh,102,6.8,5.8,272.5,100,57,2,Low,107.83
Coriander (Dhania),High,Spring,Multan Goods Market,121,29.6,3.1,278.0,107,48,4,Low,127.56
Lychee,High,Spring,Sukkur Grain Market,506,29.9,18.7,278.0,58,17,4,Low,510.36
Cherry,High,Spring,Peshawar Central Mandi,704,29.5,26.9,278.0,587,16,2,Medium,844.13
Yellow Bell Pepper,High,Winter,Hyderabad New Mandi,275,13.7,14.7,284.5,273,102,1,Low,291.22
Sweet Potato (Shakarkandi),Low,Winter,Rawalpindi Raja Bazar,81,19.9,12.9,305.0,159,54,2,Low,91.27
Broccoli,High,Spring,Multan Goods Market,224,20.1,29.8,292.0,147,84,5,Medium,266.81
Dates (Aseel),Low,Monsoon,Gujranwala Fruit Market,325,29.9,47.0,292.0,63,100,3,Medium,377.72
Guava (Amrood),High,Monsoon,Sukkur Grain Market,165,34.6,75.7,305.0,140,93,1,High,231.69
Zucchini,Medium,Spring,Sukkur Grain Market,123,22.7,18.9,278.0,293,21,1,Low,140.17
Pomegranate (Kandhari),Low,Spring,Gujranwala Fruit Market,371,18.6,20.9,278.0,165,95,3,Medium,436.35
Coriander (Dhania),High,Monsoon,Faisalabad Grain Market,122,32.0,79.2,284.5,254,84,5,Medium,155.62
Mushroom (Button),High,Spring,Lahore Badami Bagh,404,28.8,24.9,278.0,302,52,4,Medium,482.43
Bitter Gourd (Karela),High,Winter,Quetta Satellite Town Mandi,94,11.6,14.5,272.5,256,6,1,Low,109.18
Cucumber (Kheera),High,Spring,Rawalpindi Raja Bazar,133,27.7,12.3,284.5,164,108,2,Low,142.8
Falsa,High,Summer,Multan Goods Market,193,42.1,21.6,278.0,67,89,1,High,264.48
Sweet Lime (Malta),Medium,Monsoon,Karachi Sabzi Mandi,213,32.0,118.8,305.0,762,67,2,High,336.1
Bottle Gourd (Lauki),Medium,Winter,Multan Goods Market,126,2.3,10.4,292.0,174,19,2,Low,137.03
Dates (Rabai),Low,Monsoon,Islamabad Sabzi Mandi,578,37.2,114.3,292.0,284,31,1,Medium,682.12
Pistachio Fresh,Low,Spring,Gujranwala Fruit Market,1485,27.0,17.8,278.0,338,80,3,Low,1504.74
Wood Apple (Bael),Low,Monsoon,Faisalabad Grain Market,226,34.3,60.2,278.0,218,71,3,Medium,272.71
Celery,High,Spring,Karachi Sabzi Mandi,276,23.9,16.1,292.0,603,89,2,Medium,354.18
Pineapple,Low,Winter,Rawalpindi Raja Bazar,641,3.1,21.7,284.5,199,70,5,Medium,749.26
Peach (Aroo),High,Winter,Quetta Satellite Town Mandi,193,10.2,22.5,292.0,627,58,2,Medium,260.25
Colocasia Leaves,High,Monsoon,Faisalabad Grain Market,71,30.7,72.7,272.5,95,19,5,Medium,88.17
Mango (Anwar Ratol),High,Winter,Islamabad Sabzi Mandi,446,6.4,16.1,284.5,218,65,3,Low,459.13
Garlic (China),Low,Monsoon,Quetta Satellite Town Mandi,607,32.6,113.0,292.0,415,98,2,Medium,723.39
Papaya,High,Monsoon,Sukkur Grain Market,218,31.2,91.8,305.0,287,65,2,Medium,269.07
Garlic (China),Low,Monsoon,Gujranwala Fruit Market,507,34.5,65.6,284.5,165,73,4,Medium,593.07
Orange (Kinnow),Medium,Monsoon,Lahore Badami Bagh,145,36.6,70.5,278.0,368,109,2,Medium,188.15
Wood Apple (Bael),Low,Summer,Lahore Badami Bagh,175,41.5,24.6,305.0,323,52,4,Medium,222.11
Turnip (Shalgam),Medium,Summer,Gujranwala Fruit Market,63,37.6,7.3,284.5,115,50,4,Low,70.17
Zucchini,Medium,Spring,Rawalpindi Raja Bazar,155,25.1,11.3,284.5,167,25,2,Low,165.24
Mustard Greens (Sarson),High,Winter,Multan Goods Market,41,8.8,12.3,284.5,161,27,2,Low,50.86
Turnip (Shalgam),Medium,Summer,Gujranwala Fruit Market,56,42.2,29.2,284.5,320,12,2,Medium,84.06
Banana (Dhaka),High,Summer,Peshawar Central Mandi,154,37.7,4.8,278.0,538,79,3,High,239.23
Cabbage,Medium,Winter,Karachi Sabzi Mandi,47,16.3,16.7,272.5,507,106,4,Medium,83.0
Zucchini,Medium,Monsoon,Gujranwala Fruit Market,180,35.6,65.3,278.0,396,58,3,Medium,230.16
Coconut (Fresh),Low,Summer,Rawalpindi Raja Bazar,221,46.4,10.5,305.0,207,17,2,Medium,267.8
Mulberry (Shahtoot),High,Summer,Gujranwala Fruit Market,363,35.2,21.5,272.5,133,44,4,High,498.0
Orange (Kinnow),Medium,Summer,Rawalpindi Raja Bazar,240,48.0,8.1,305.0,174,103,4,Medium,287.23
Mango (Sindhri),High,Summer,Gujranwala Fruit Market,165,45.1,0.1,272.5,193,91,5,Medium,200.95
Cucumber (Kheera),High,Monsoon,Quetta Satellite Town Mandi,118,28.9,67.7,272.5,489,44,2,Medium,163.66
Peas (Matar),High,Winter,Karachi Sabzi Mandi,106,13.7,2.8,272.5,601,19,2,Medium,156.47
Grapes (Sundarkhani),High,Summer,Quetta Satellite Town Mandi,402,32.3,5.9,284.5,497,97,1,Low,431.5
Coriander (Dhania),High,Summer,Multan Goods Market,100,41.9,4.6,292.0,245,58,2,Medium,130.06
Grapes (Black),High,Summer,Gujranwala Fruit Market,368,37.2,6.3,272.5,257,93,4,Medium,437.98
Capsicum (Shimla Mirch),High,Summer,Sukkur Grain Market,154,36.9,28.6,284.5,61,25,2,High,211.86
Custard Apple (Sharifa),High,Winter,Quetta Satellite Town Mandi,234,7.0,15.4,284.5,832,52,1,Medium,318.5
Pineapple,Low,Monsoon,Faisalabad Grain Market,600,29.0,99.0,272.5,200,80,1,Medium,701.41
Drumstick (Sohanjna),Medium,Spring,Rawalpindi Raja Bazar,274,27.3,9.3,292.0,529,108,4,Medium,347.45
Lotus Stem (Bheen),Low,Winter,Gujranwala Fruit Market,96,2.4,3.2,284.5,148,29,1,Low,104.92
Cucumber (Kheera),High,Summer,Islamabad Sabzi Mandi,70,38.8,15.3,292.0,310,81,2,Medium,99.47
Grapes (Black),High,Spring,Rawalpindi Raja Bazar,404,22.1,17.4,305.0,295,37,3,Low,423.1
Jamun,High,Summer,Karachi Sabzi Mandi,442,32.9,18.3,272.5,157,43,3,Low,451.22
Tomato,High,Winter,Gujranwala Fruit Market,73,5.7,24.5,292.0,76,50,4,Medium,88.93
Zucchini,Medium,Monsoon,Karachi Sabzi Mandi,173,26.6,41.3,305.0,760,96,1,Medium,247.29
Fenugreek (Methi),High,Spring,Islamabad Sabzi Mandi,81,24.8,1.9,272.5,644,29,4,Medium,130.31
Peach (Aroo),High,Spring,Gujranwala Fruit Market,225,27.7,24.6,284.5,370,36,4,Medium,281.17
Grapes (Black),High,Monsoon,Multan Goods Market,566,31.2,107.1,272.5,125,85,2,Medium,658.1
Grapes (Gola),High,Monsoon,Sukkur Grain Market,326,34.9,50.8,305.0,268,83,2,High,457.24
Orange (Kinnow),Medium,Spring,Lahore Badami Bagh,189,28.3,26.2,278.0,218,22,1,Medium,230.17
Green Chickpeas (Chholia),High,Spring,Sukkur Grain Market,149,21.9,23.2,278.0,190,18,5,Medium,183.54
Avocado,Medium,Spring,Rawalpindi Raja Bazar,820,28.8,22.4,272.5,513,23,2,Medium,972.5
Bitter Gourd (Karela),High,Spring,Gujranwala Fruit Market,143,19.1,2.8,284.5,128,87,4,Low,150.79
Colocasia Leaves,High,Monsoon,Hyderabad New Mandi,54,37.8,83.3,278.0,263,8,3,High,89.63
Apricot (Khubani),High,Winter,Hyderabad New Mandi,235,13.6,22.8,305.0,256,48,1,Medium,286.61
Peach (Aroo),High,Winter,Karachi Sabzi Mandi,193,2.1,10.7,284.5,553,84,4,Medium,254.94
Arbi (Taro Root),Medium,Monsoon,Karachi Sabzi Mandi,148,32.8,40.2,284.5,534,67,1,Medium,201.92
Mushroom (Button),High,Winter,Quetta Satellite Town Mandi,294,13.2,21.3,305.0,731,86,4,Medium,384.76
Fig (Anjeer Fresh),High,Winter,Rawalpindi Raja Bazar,493,3.0,20.1,292.0,342,89,5,Medium,588.0
Mosambi (Sweet Lime),Medium,Summer,Islamabad Sabzi Mandi,180,47.6,36.8,284.5,422,92,2,Medium,232.11
Lettuce,High,Winter,Quetta Satellite Town Mandi,68,11.7,21.5,278.0,430,27,5,Medium,103.91
Carrot,Medium,Spring,Rawalpindi Raja Bazar,77,27.2,24.5,284.5,493,38,1,Medium,117.89
Mango (Dusehri),High,Winter,Faisalabad Grain Market,209,9.2,11.9,272.5,55,100,1,Low,212.17
Red Chili (Fresh),High,Monsoon,Faisalabad Grain Market,378,28.9,44.1,305.0,243,105,3,Medium,450.27
Banana (Sindhi),High,Winter,Rawalpindi Raja Bazar,151,12.8,7.7,284.5,234,95,1,Low,164.92
Colocasia Leaves,High,Monsoon,Faisalabad Grain Market,41,32.0,117.0,278.0,275,103,4,Medium,63.25
Tomato,High,Spring,Gujranwala Fruit Market,112,18.8,26.2,305.0,368,34,4,Medium,152.7
Dragon Fruit,Medium,Summer,Peshawar Central Mandi,643,31.6,26.1,305.0,340,17,4,Medium,762.05
Dragon Fruit,Medium,Summer,Karachi Sabzi Mandi,946,36.2,4.0,292.0,565,42,3,Medium,1122.58
Drumstick (Sohanjna),Medium,Winter,Peshawar Central Mandi,388,15.6,17.5,284.5,681,53,2,Medium,486.73
Celery,High,Winter,Faisalabad Grain Market,172,13.5,24.1,278.0,217,107,5,Medium,210.58
Lemon (China),Medium,Monsoon,Rawalpindi Raja Bazar,156,26.3,74.8,278.0,597,49,5,High,245.63
Peach (Aroo),High,Summer,Multan Goods Market,229,40.1,14.3,292.0,196,11,4,Medium,276.77
Raw Banana (Kacha Kela),Medium,Spring,Sukkur Grain Market,79,26.0,27.0,284.5,296,6,5,Medium,111.61
Papaya,High,Monsoon,Lahore Badami Bagh,189,34.4,85.5,305.0,369,105,3,High,278.72
Ladyfinger (Bhindi),High,Winter,Lahore Badami Bagh,186,15.3,2.7,284.5,169,45,4,Low,196.41
Cabbage,Medium,Summer,Faisalabad Grain Market,75,41.3,16.3,292.0,59,12,1,Medium,90.19
Mango (Dusehri),High,Winter,Sukkur Grain Market,317,7.7,12.7,272.5,157,66,4,Low,326.18
Loquat,High,Summer,Sukkur Grain Market,177,44.5,16.5,284.5,108,102,1,Medium,209.99
Banana (Sindhi),High,Monsoon,Multan Goods Market,138,34.4,87.1,272.5,152,67,1,High,195.0
Radish (Mooli),Medium,Spring,Sukkur Grain Market,60,29.0,13.3,272.5,117,14,2,Low,67.24
Lychee,High,Spring,Rawalpindi Raja Bazar,397,27.8,25.3,272.5,358,10,5,Medium,478.92
Fenugreek (Methi),High,Spring,Peshawar Central Mandi,70,23.6,14.7,284.5,278,23,2,Low,86.85
Grapes (Sundarkhani),High,Spring,Peshawar Central Mandi,486,22.0,14.9,284.5,513,108,4,Medium,589.47
Garlic (China),Low,Spring,Quetta Satellite Town Mandi,661,21.0,25.7,278.0,792,104,3,Medium,806.15
Orange (Kinnow),Medium,Winter,Rawalpindi Raja Bazar,121,6.5,6.4,278.0,546,86,2,Medium,170.88
Cucumber (Kheera),High,Winter,Quetta Satellite Town Mandi,54,18.1,13.3,305.0,501,50,1,Medium,94.02
Zucchini (Yellow),Medium,Spring,Quetta Satellite Town Mandi,146,19.3,10.4,272.5,309,15,4,Low,164.67
Apple (Garcha),Low,Summer,Faisalabad Grain Market,295,42.7,16.2,278.0,326,88,2,Medium,358.23
Cabbage,Medium,Monsoon,Gujranwala Fruit Market,51,31.1,79.9,292.0,399,52,1,Medium,83.01
Zucchini (Yellow),Medium,Summer,Gujranwala Fruit Market,146,34.0,17.0,278.0,288,79,4,Low,162.91
Capsicum (Shimla Mirch),High,Summer,Islamabad Sabzi Mandi,200,33.9,14.0,305.0,372,39,3,Low,223.97
Sweet Lime (Malta),Medium,Spring,Islamabad Sabzi Mandi,183,24.4,20.8,292.0,189,108,2,Medium,222.03
Broccoli,High,Summer,Quetta Satellite Town Mandi,237,41.4,23.0,305.0,725,81,2,High,366.13
Tinda,High,Winter,Sukkur Grain Market,156,12.7,12.8,292.0,169,24,5,Low,167.18
Banana (Sindhi),High,Monsoon,Islamabad Sabzi Mandi,179,33.4,70.0,292.0,414,22,4,Medium,231.82
Mushroom (Button),High,Monsoon,Lahore Badami Bagh,582,36.8,87.2,292.0,102,57,2,High,792.06
Yellow Bell Pepper,High,Monsoon,Peshawar Central Mandi,265,37.2,72.4,305.0,583,49,4,High,395.15
Arbi (Taro Root),Medium,Summer,Quetta Satellite Town Mandi,142,37.1,38.6,278.0,456,30,1,Medium,189.86
Mustard Greens (Sarson),High,Monsoon,Multan Goods Market,38,34.7,81.5,278.0,165,24,2,High,61.22
Orange (Kinnow),Medium,Monsoon,Multan Goods Market,131,34.6,71.7,278.0,32,57,1,Medium,152.58
Melon (Kharbooza),Medium,Winter,Faisalabad Grain Market,118,15.7,5.2,272.5,269,85,4,Low,133.48
Grapes (Gola),High,Spring,Faisalabad Grain Market,271,29.4,13.8,305.0,118,105,1,Low,278.54
Melon (Kharbooza),Medium,Spring,Gujranwala Fruit Market,105,19.1,25.4,284.5,292,17,2,Medium,138.56
Turnip (Shalgam),Medium,Winter,Peshawar Central Mandi,35,18.1,18.2,292.0,376,75,5,Low,58.17
Zucchini,Medium,Winter,Quetta Satellite Town Mandi,170,13.3,23.2,278.0,552,105,3,Medium,227.6
Pistachio Fresh,Low,Spring,Sukkur Grain Market,962,25.5,23.7,284.5,100,61,2,Medium,1112.37
Onion,Low,Summer,Peshawar Central Mandi,184,38.5,29.1,278.0,228,8,1,Medium,225.31
Custard Apple (Sharifa),High,Winter,Sukkur Grain Market,323,20.0,9.6,305.0,295,10,5,Low,343.79
Mosambi (Sweet Lime),Medium,Monsoon,Karachi Sabzi Mandi,257,34.6,51.9,284.5,717,25,4,High,390.14
Rambutan (Imported),High,Winter,Gujranwala Fruit Market,1945,13.4,8.1,284.5,320,102,3,Low,1964.1
Tomato,High,Summer,Karachi Sabzi Mandi,159,45.6,14.4,284.5,468,45,2,Medium,210.78
Plum (Aloo Bukhara),High,Winter,Karachi Sabzi Mandi,443,10.0,24.5,292.0,587,71,1,Medium,545.22
Lotus Stem (Bheen),Low,Monsoon,Multan Goods Market,225,28.6,85.2,278.0,41,31,2,Medium,261.41
Coriander (Dhania),High,Winter,Peshawar Central Mandi,39,17.5,7.9,278.0,623,16,5,Medium,82.26
Lotus Stem (Bheen),Low,Winter,Islamabad Sabzi Mandi,172,2.3,22.4,272.5,297,44,3,Medium,214.96
Radish (Mooli),Medium,Winter,Lahore Badami Bagh,50,13.2,5.8,278.0,417,79,2,Low,74.26
Sweet Lime (Malta),Medium,Spring,Quetta Satellite Town Mandi,140,21.3,24.0,292.0,377,36,3,Medium,184.3
Grapes (Sundarkhani),High,Spring,Lahore Badami Bagh,554,25.7,22.0,284.5,313,104,1,Medium,655.69
Celery,High,Summer,Islamabad Sabzi Mandi,225,40.4,31.6,305.0,206,84,4,High,317.05
Sweet Melon (Garma),Medium,Spring,Lahore Badami Bagh,91,27.9,11.6,305.0,451,6,2,Low,120.94
Lotus Stem (Bheen),Low,Summer,Faisalabad Grain Market,112,46.2,20.2,272.5,174,94,3,Medium,138.82
Colocasia Leaves,High,Spring,Quetta Satellite Town Mandi,101,19.9,6.6,272.5,697,9,1,Medium,156.17
Garlic (China),Low,Summer,Hyderabad New Mandi,721,43.2,15.1,284.5,92,67,2,Medium,834.74
Mulberry (Shahtoot),High,Summer,Faisalabad Grain Market,176,34.7,24.2,292.0,247,79,1,High,252.68
Garlic Sprouts,Medium,Summer,Gujranwala Fruit Market,157,44.1,4.4,284.5,184,84,1,Medium,191.51
Sweet Potato (Shakarkandi),Low,Winter,Islamabad Sabzi Mandi,50,10.1,19.3,292.0,290,57,2,Low,67.8
Coriander (Dhania),High,Winter,Hyderabad New Mandi,80,18.3,0.3,272.5,253,55,4,Low,94.68
Watermelon (Tarbooz),Medium,Summer,Sukkur Grain Market,35,41.8,23.9,292.0,71,43,2,Medium,44.77
Grapes (Black),High,Summer,Faisalabad Grain Market,297,39.3,6.4,284.5,239,66,1,Medium,355.78
Mustard Greens (Sarson),High,Winter,Hyderabad New Mandi,38,15.4,9.8,284.5,67,67,4,Low,42.24
Strawberry,High,Monsoon,Lahore Badami Bagh,343,28.8,108.0,278.0,304,86,3,Medium,412.21
Carrot,Medium,Winter,Sukkur Grain Market,39,7.5,5.0,292.0,228,7,3,Low,54.56
Strawberry,High,Summer,Multan Goods Market,397,35.6,7.2,272.5,30,41,5,Medium,458.79
Cluster Beans (Gwar),Medium,Winter,Islamabad Sabzi Mandi,80,16.0,4.6,305.0,383,85,1,Low,104.39
Fenugreek (Methi),High,Spring,Sukkur Grain Market,85,26.6,4.9,278.0,217,41,4,Low,98.0
Orange (Kinnow),Medium,Summer,Lahore Badami Bagh,216,34.1,13.7,272.5,323,10,2,Low,235.16
Pineapple,Low,Winter,Multan Goods Market,632,19.1,22.8,272.5,111,27,2,Medium,733.42
Avocado,Medium,Spring,Peshawar Central Mandi,978,19.0,10.1,272.5,551,39,2,Medium,1156.21
Lotus Stem (Bheen),Low,Winter,Quetta Satellite Town Mandi,98,8.2,5.3,292.0,453,48,4,Low,125.92
Lychee,High,Winter,Islamabad Sabzi Mandi,449,9.8,18.7,272.5,285,27,3,Low,465.66
Pomegranate (Bedana),Low,Monsoon,Lahore Badami Bagh,696,27.2,93.7,305.0,267,57,1,Medium,817.44
Peach (Aroo),High,Winter,Islamabad Sabzi Mandi,218,6.7,16.1,305.0,456,86,2,Low,247.08
Apple (Golden),Low,Winter,Multan Goods Market,157,14.3,18.2,284.5,180,39,2,Low,167.89
Wild Plum (Jaman),High,Monsoon,Quetta Satellite Town Mandi,137,36.3,112.0,278.0,329,22,2,High,204.4
Green Chilies,High,Winter,Faisalabad Grain Market,222,15.7,12.0,305.0,95,26,3,Low,228.54
Garlic (China),Low,Monsoon,Sukkur Grain Market,753,26.5,115.0,292.0,188,82,4,Medium,877.6
Zucchini,Medium,Spring,Hyderabad New Mandi,115,25.2,16.0,278.0,194,24,3,Low,126.78
Capsicum (Shimla Mirch),High,Monsoon,Peshawar Central Mandi,209,28.9,94.7,292.0,297,85,3,Medium,258.57
Mosambi (Sweet Lime),Medium,Spring,Peshawar Central Mandi,140,29.9,9.9,305.0,586,25,5,Medium,199.1
